Date,Industrial Production (Mom %), Capacity Utilization Index Mom (%), Nonfarm Payrolls Index Mom (%), Nonfarm Payrolls Index Mom (%), Advance Retail Sales Index Mom (%),Manufacturers New Orders Index Mom (%),Real GDP QoQ (%),Real Personal Income MoM (%)
2019-06-01,0.12,0.12,0.14,3.6,0.5,0.1,0.84,0.16
2019-07-01,-0.52,-0.52,0.06,3.7,-1.14,0.76,1.17,-0.03
2019-08-01,0.76,0.76,0.16,3.6,-0.12,0.68,1.17,0.44
2019-09-01,-0.31,-0.31,0.13,3.5,-0.69,-0.64,1.17,0.18
2019-10-01,-0.85,-0.85,0.06,3.6,-0.5,0.27,0.68,0.2
2019-11-01,0.55,0.55,0.14,3.6,-0.28,0.7,0.68,0.35
2019-12-01,-0.2,-0.2,0.08,3.6,-1.61,0.32,0.68,-0.46
2020-01-01,-0.59,-0.59,0.16,3.6,-0.75,-0.14,-1.39,1.05
2020-02-01,0.33,0.33,0.17,3.5,-0.1,0.04,-1.39,0.44
2020-03-01,-4.0,-4.0,-0.92,4.4,-3.13,-9.12,-1.39,-1.47
2020-04-01,-13.24,-13.24,-13.57,14.8,-9.59,-14.37,-7.91,12.18
2020-05-01,1.57,1.57,2.01,13.2,3.78,19.31,-7.91,-4.29
2020-06-01,6.58,6.58,3.48,11.0,5.06,8.27,-7.91,-0.07
2020-07-01,3.63,3.63,1.15,10.2,3.3,1.6,7.83,0.94
2020-08-01,0.97,0.97,1.12,8.4,0.99,0.84,7.83,-3.3
2020-09-01,-0.04,-0.04,0.68,7.8,3.07,1.99,7.83,0.65
2020-10-01,0.66,0.66,0.49,6.9,1.32,-0.4,1.08,-0.08
2020-11-01,0.44,0.44,0.19,6.7,0.93,-0.96,1.08,-0.88
2020-12-01,1.29,1.29,-0.13,6.7,3.18,0.86,1.08,0.34
2021-01-01,0.62,0.62,0.26,6.4,1.76,3.84,1.38,9.87
2021-02-01,-3.35,-3.35,0.36,6.2,1.03,-2.56,1.38,-7.32
2021-03-01,2.81,2.81,0.57,6.1,1.15,10.77,1.38,20.17
2021-04-01,0.14,0.14,0.25,6.1,2.23,0.89,1.57,-13.43
2021-05-01,0.87,0.87,0.29,5.8,-0.0,-0.6,1.57,-2.4
2021-06-01,0.47,0.47,0.55,5.9,1.16,1.1,1.57,-0.32
2021-07-01,0.42,0.42,0.64,5.4,1.08,-1.66,0.85,0.61
2021-08-01,-0.03,-0.03,0.33,5.1,1.27,0.62,0.85,-0.16
2021-09-01,-1.05,-1.05,0.32,4.7,0.65,0.68,0.85,-0.9
2021-10-01,1.37,1.37,0.58,4.5,0.42,1.46,1.8,0.14
2021-11-01,0.91,0.91,0.43,4.2,1.09,1.02,1.8,-0.18
2021-12-01,-0.07,-0.07,0.39,3.9,2.5,-0.79,1.8,-0.3
2022-01-01,0.02,0.02,0.15,4.0,0.31,1.87,-0.26,-0.48
2022-02-01,0.62,0.62,0.58,3.8,0.06,1.04,-0.26,0.06
2022-03-01,0.81,0.81,0.31,3.7,0.9,2.03,-0.26,-0.41
2022-04-01,0.22,0.22,0.2,3.7,0.46,1.41,0.07,0.06
2022-05-01,0.06,0.06,0.16,3.6,0.37,-0.05,0.07,-0.17
2022-06-01,-0.14,-0.14,0.3,3.6,-0.06,0.95,0.07,-0.44
2022-07-01,0.22,0.22,0.46,3.5,0.05,-0.99,0.67,0.92
2022-08-01,0.12,0.12,0.15,3.6,-0.38,0.61,0.67,0.34
2022-09-01,0.35,0.35,0.15,3.5,-0.14,-0.26,0.67,0.25
2022-10-01,-0.09,-0.09,0.26,3.6,0.35,1.03,0.83,0.22
2022-11-01,-0.33,-0.33,0.19,3.6,-0.53,-1.38,0.83,-0.02
2022-12-01,-1.24,-1.24,0.08,3.5,0.1,-1.17,0.83,0.2
2023-01-01,0.9,0.9,0.29,3.5,-0.49,4.37,0.69,0.09
2023-02-01,0.05,0.05,0.2,3.6,-1.18,-1.19,0.69,0.23
2023-03-01,0.01,0.01,0.05,3.5,1.69,-1.05,0.69,0.4
2023-04-01,0.4,0.4,0.14,3.4,-1.77,0.82,0.61,0.04
2023-05-01,-0.24,-0.24,0.15,3.6,-1.69,0.51,0.61,0.31
2023-06-01,-0.58,-0.58,0.17,3.6,2.48,0.48,0.61,0.07
2023-07-01,0.68,0.68,0.09,3.5,0.75,0.19,1.07,0.1
2023-08-01,0.02,0.02,0.1,3.7,-0.41,0.93,1.07,0.14
2023-09-01,0.21,0.21,0.1,3.8,0.27,0.68,1.07,0.09
2023-10-01,-0.71,-0.71,0.12,3.9,-0.25,-0.47,0.79,0.28
2023-11-01,0.3,0.3,0.09,3.7,-0.03,-0.12,0.79,0.44
2023-12-01,-0.25,-0.25,0.17,3.8,0.46,0.14,0.79,0.23
2024-01-01,-1.12,-1.12,0.08,3.7,-0.89,-0.85,0.4,0.93
2024-02-01,1.23,1.23,0.14,3.9,0.07,0.71,0.4,0.12
2024-03-01,-0.2,-0.2,0.16,3.9,-0.11,0.34,0.4,0.25
2024-04-01,-0.16,-0.16,0.07,3.9,0.62,-0.01,0.74,-0.11
2024-05-01,0.61,0.61,0.12,4.0,-0.11,0.75,0.74,0.31
2024-06-01,0.27,0.27,0.06,4.1,0.41,-0.05,0.74,0.06
2024-07-01,-0.71,-0.71,0.06,4.2,-0.41,0.93,0.76,0.01
2024-08-01,0.49,0.49,0.04,4.2,0.57,-0.2,0.76,0.01
2024-09-01,-0.41,-0.41,0.15,4.1,1.07,0.8,0.76,0.15
2024-10-01,-0.37,-0.37,0.03,4.1,-0.19,0.64,0.61,0.43
2024-11-01,-0.26,-0.26,0.16,4.2,-0.36,0.64,0.61,0.24
2024-12-01,1.07,1.07,0.2,4.1,0.21,0.77,0.61,0.11
2025-01-01,-0.16,-0.16,0.07,4.0,0.26,-0.86,-0.13,0.16
2025-02-01,0.96,0.96,0.06,4.1,0.42,0.04,-0.13,0.29
2025-03-01,-0.22,-0.22,0.08,4.2,-0.22,1.52,-0.13,0.63
2025-04-01,0.03,0.03,0.1,4.2,0.01,-0.11,0.73,0.64
2025-05-01,0.08,0.08,0.01,4.2,0.64,-0.79,0.73,-0.56
2025-06-01,0.35,0.35,0.01,4.1,0.19,0.9,0.73,-0.0
2025-07-01,-0.12,-0.12,0.05,4.2,0.19,0.51,0.73,-0.0
