Date,Consumer Sentiment Index (UMich),Core CPI (MoM %),CPI MoM %,PPI (MoM %),5Y Breakeven Inflation Rate,Consumer Sentiment Index (UMich)_Label,Core CPI (MoM %)_Label,CPI MoM %_Label,PPI (MoM %)_Label,5Y Breakeven Inflation Rate_Label
2003-01-01,-0.8791238194488735,-0.2698115931369569,0.7278836827783238,1.248750692335766,-0.9641746954849384,Cold,Neutral,Hot,Hot,Cold
2003-02-01,-0.6321123574782724,-1.0454223541217869,1.0785902058690275,1.1601613107590663,-0.5213980695844128,Cold,Cold,Hot,Hot,Cold
2003-03-01,-0.1380894335370707,-1.3979727000239823,-0.1648238305434671,1.9010906839460087,-0.4328427444043077,Neutral,Cold,Neutral,Very Hot,Neutral
2003-04-01,-1.0026295504341742,-1.3979727000239823,-1.8864740348069213,-2.7216643183290445,-0.6630865898725807,Cold,Cold,Very Cold,Very Cold,Cold
2003-05-01,-1.4966524743753757,0.08273875276523847,-1.185060988625514,-0.265322374611464,-1.0704410857010642,Cold,Neutral,Cold,Neutral,Cold
2003-06-01,-1.3731467433900753,-1.0454223541217869,-0.32423588649378693,0.5561428000088416,-1.0350189556290221,Cold,Cold,Neutral,Hot,Cold
2003-07-01,-1.8671696673312772,0.08273875276523847,0.3771771596876203,-0.386126076761509,-0.6630865898725807,Very Cold,Neutral,Neutral,Neutral,Cold
2003-08-01,-0.8791238194488735,-0.6928720082195914,0.7278836827783238,-0.03176855045471048,-0.0963325087199084,Cold,Cold,Hot,Neutral,Neutral
2003-09-01,-0.5086066264929724,-1.0454223541217869,0.3771771596876203,0.08098157155199813,-0.0963325087199084,Cold,Cold,Neutral,Neutral,Neutral
2003-10-01,-0.755618088463573,-0.340321662317396,-1.025648932675194,0.25816033470539734,0.06306707660428093,Cold,Neutral,Cold,Neutral,Neutral
2003-11-01,-0.6321123574782724,-1.3979727000239823,-0.5155303536341708,-0.4425011377648633,0.13391133674836508,Cold,Cold,Cold,Neutral,Neutral
2003-12-01,-0.755618088463573,-0.6928720082195914,0.18588269254723652,0.13735663255535244,0.16933346682040715,Cold,Cold,Neutral,Neutral,Neutral
2004-01-01,-0.6321123574782724,0.08273875276523847,0.6960012715882599,0.8863395858856312,0.16933346682040715,Cold,Neutral,Hot,Hot,Neutral
